Date,Open,High,Low,Close*,Adj Close**,Volume
22-Jun-22,628.8,630.1,603.3,611.6,611.6,285
21-Jun-22,591.8,630.1,591.2,610.1,610.1,422
20-Jun-22,-,-,-,-,-,-
17-Jun-22,574.5,591.8,566.6,581.1,581.1,250
16-Jun-22,560.1,578.9,556,569,569,215
15-Jun-22,546.7,568.4,530.8,563.5,563.5,383
14-Jun-22,519.3,552.7,518.5,538,538,217
13-Jun-22,549.6,554.6,517,528,528,191
10-Jun-22,555.8,564.5,550,555.9,555.9,155
09-Jun-22,570,582,558.1,568.3,568.3,177
08-Jun-22,591.4,592,566.1,573,573,267
07-Jun-22,601.1,610.9,585.4,596.8,596.8,211
06-Jun-22,634.7,634.7,589,600.3,600.3,188
03-Jun-22,605,630,595.6,623.3,623.3,296
02-Jun-22,600.8,624,594,598.5,598.5,340
01-Jun-22,644.8,644.8,604.5,608.6,608.6,420
31-May-22,698.8,699.2,649.8,653.5,653.5,270
30-May-22,-,-,-,-,-,-
27-May-22,698.7,715,670,695.1,695.1,263
26-May-22,670.9,690,659.1,683,683,238
25-May-22,659.5,665,647.8,651.8,651.8,166
24-May-22,644.5,672,636.3,660,660,153
23-May-22,670.1,675,640.6,651.9,651.9,193
20-May-22,675,690.5,655,667.3,667.3,153
19-May-22,728.5,728.5,690.5,690.5,690.5,243
18-May-22,778.9,778.9,739,739.5,739.5,196
17-May-22,804.5,812.2,775.5,788,788,133
16-May-22,772.2,792,752.4,787,787,170
13-May-22,985,985,920,920,920,211
12-May-22,"1,024.90","1,024.90","1,000.00","1,004.00","1,004.00",43
11-May-22,"1,011.00","1,025.00","1,007.50","1,007.50","1,007.50",99
10-May-22,"1,008.00","1,025.00","1,008.00","1,022.00","1,022.00",68
09-May-22,"1,000.10","1,015.00",975,"1,009.00","1,009.00",89
06-May-22,990,"1,005.00",985,"1,000.10","1,000.10",147
05-May-22,"1,010.00","1,033.40",993.8,"1,020.00","1,020.00",131
04-May-22,"1,021.60","1,025.50",980,"1,010.00","1,010.00",144
03-May-22,"1,036.00","1,045.00","1,022.00","1,039.50","1,039.50",103
02-May-22,"1,033.90","1,054.00","1,025.00","1,034.70","1,034.70",91
29-Apr-22,"1,025.00","1,047.40","1,023.00","1,039.70","1,039.70",181
28-Apr-22,"1,044.70","1,045.90","1,020.00","1,044.80","1,044.80",81
